,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed,Date_Read
116,Severo-Kurilsk,RU,1563906527,99,91,50.68,156.12,45.88,2.3,2019-07-23 18:28:47
117,Zhuhai,CN,1563906527,20,83,40.71,112.04,69.8,4.47,2019-07-23 18:28:47
118,Bambous Virieux,MU,1563906528,75,88,-20.34,57.76,69.8,13.87,2019-07-23 18:28:48
119,Brae,GB,1563906528,76,77,60.4,-1.35,69.8,3.36,2019-07-23 18:28:48
120,Shimoda,JP,1563906528,75,94,34.7,138.93,77.0,2.24,2019-07-23 18:28:48
121,Bodaybo,RU,1563906528,10,73,57.85,114.2,53.62,3.13,2019-07-23 18:28:48
122,Belmonte,PT,1563906528,57,34,40.36,-7.35,95.0,8.48,2019-07-23 18:28:48
123,Abnub,EG,1563906529,0,33,27.27,31.15,91.4,9.17,2019-07-23 18:28:49
124,Qingyuan,CN,1563906529,53,91,27.62,119.06,70.9,2.13,2019-07-23 18:28:49
125,Hilo,US,1563906529,75,73,19.71,-155.08,79.0,4.7,2019-07-23 18:28:49
126,Ushtobe,KZ,1563906529,33,24,45.25,77.98,80.98,3.15,2019-07-23 18:28:49
127,Meulaboh,ID,1563906530,84,69,4.14,96.13,84.04,4.47,2019-07-23 18:28:50
128,Berlevag,NO,1563906530,5,57,70.86,29.09,63.88,14.16,2019-07-23 18:28:50
129,Hun,BE,1563906530,0,24,50.34,4.87,96.01,6.93,2019-07-23 18:28:50
130,Zalantun,CN,1563906530,100,98,48.0,122.72,62.62,3.22,2019-07-23 18:28:50
131,Haicheng,CN,1563906531,88,94,40.85,122.74,75.76,4.83,2019-07-23 18:28:51
132,Omboue,GA,1563906531,21,85,-1.57,9.26,74.14,17.67,2019-07-23 18:28:51
133,Togul,RU,1563906531,98,87,53.47,85.91,57.76,2.17,2019-07-23 18:28:51
134,Nishihara,JP,1563906531,75,94,35.74,139.53,79.0,3.36,2019-07-23 18:28:51
135,Georgetown,GY,1563906532,40,70,6.8,-58.16,86.0,11.41,2019-07-23 18:28:52
136,Ziniare,BF,1563906532,40,83,12.58,-1.3,82.4,4.7,2019-07-23 18:28:52
137,Diego de Almagro,CL,1563906532,46,54,-26.39,-70.05,54.16,9.57,2019-07-23 18:28:52
138,Fortuna,US,1563906532,40,72,40.6,-124.16,78.01,4.7,2019-07-23 18:28:52
139,Samarai,PG,1563906532,45,86,-10.62,150.67,72.16,8.97,2019-07-23 18:28:52
140,Show Low,US,1563906321,75,34,34.25,-110.03,87.01,8.81,2019-07-23 18:25:21
141,Erzin,TR,1563906533,0,65,36.95,36.2,82.4,13.87,2019-07-23 18:28:53
142,Durg,IN,1563906533,75,83,21.19,81.27,80.6,5.82,2019-07-23 18:28:53
143,Kantang,TH,1563906533,20,94,7.42,99.52,77.0,1.32,2019-07-23 18:28:53
144,Beruwala,LK,1563906533,67,83,6.48,79.98,81.34,10.29,2019-07-23 18:28:53
145,Ancud,CL,1563906534,40,57,-41.87,-73.83,50.0,4.7,2019-07-23 18:28:54
146,Upernavik,GL,1563906534,0,62,72.79,-56.15,48.4,7.14,2019-07-23 18:28:54
147,Sitka,US,1563906534,0,50,37.17,-99.65,79.0,4.0,2019-07-23 18:28:54
148,Ust-Kut,RU,1563906534,100,55,56.78,105.75,60.46,1.63,2019-07-23 18:28:54
149,Gobabis,NA,1563906535,0,14,-22.45,18.97,66.2,5.82,2019-07-23 18:28:55
150,Alofi,NU,1563906535,7,88,-19.06,-169.92,66.2,1.12,2019-07-23 18:28:55
151,Leningradskiy,RU,1563906535,100,81,69.38,178.42,39.4,3.04,2019-07-23 18:28:55
152,Portland,US,1563905941,90,68,43.66,-70.25,68.0,5.82,2019-07-23 18:19:01
153,Thompson,CA,1563906535,40,51,55.74,-97.86,82.4,4.7,2019-07-23 18:28:55
154,Hasaki,JP,1563906536,75,100,35.73,140.83,73.4,3.36,2019-07-23 18:28:56
155,Nurlat,RU,1563906536,0,89,54.43,50.8,59.56,3.94,2019-07-23 18:28:56
156,Fare,PF,1563906536,98,82,-16.7,-151.02,78.82,16.13,2019-07-23 18:28:56
157,Lekoni,GA,1563906536,37,50,-1.58,14.26,82.06,4.45,2019-07-23 18:28:56
158,Mar del Plata,AR,1563906537,0,50,-46.43,-67.52,45.52,13.42,2019-07-23 18:28:57
159,Atbasar,KZ,1563906537,99,81,51.81,68.36,60.28,8.25,2019-07-23 18:28:57
160,Cabo San Lucas,MX,1563906393,90,74,22.89,-109.91,89.01,13.87,2019-07-23 18:26:33
161,Westport,US,1563906537,90,69,41.14,-73.36,75.0,9.17,2019-07-23 18:28:57
162,Linkoping,SE,1563906334,56,73,58.41,15.62,69.8,5.82,2019-07-23 18:25:34
163,Saint George,GR,1563906538,20,42,39.45,22.34,86.0,7.27,2019-07-23 18:28:58
164,Puerto Ayora,EC,1563906538,75,69,-0.74,-90.35,75.2,18.34,2019-07-23 18:28:58
165,Flinders,AU,1563906539,40,47,-34.58,150.85,60.01,18.34,2019-07-23 18:28:59
166,Methoni,GR,1563906539,75,35,36.82,21.7,87.8,8.05,2019-07-23 18:28:59
167,Kawalu,ID,1563906539,97,90,-7.38,108.21,65.5,2.21,2019-07-23 18:28:59
168,Atambua,ID,1563906539,0,70,-9.11,124.89,74.5,13.29,2019-07-23 18:28:59
169,Nemuro,JP,1563906540,80,88,43.32,145.57,59.02,14.14,2019-07-23 18:29:00
170,Coquimbo,CL,1563906540,20,58,-29.95,-71.34,55.4,9.17,2019-07-23 18:29:00
171,Mahibadhoo,MV,1563906540,67,76,3.78,72.97,82.96,10.29,2019-07-23 18:29:00
172,Megion,RU,1563906540,0,77,61.04,76.11,62.6,6.71,2019-07-23 18:29:00
173,Masaka,UG,1563906541,69,54,-0.34,31.75,66.76,4.07,2019-07-23 18:29:01
174,Saint-Philippe,CA,1563906541,90,47,45.36,-73.48,82.4,12.75,2019-07-23 18:29:01
175,Saldanha,PT,1563906541,56,36,41.42,-6.55,84.76,14.43,2019-07-23 18:29:01
176,Kupang,ID,1563906541,42,71,-10.16,123.6,72.7,8.86,2019-07-23 18:29:01
177,Scottsbluff,US,1563906542,1,51,41.87,-103.67,82.99,11.41,2019-07-23 18:29:02
178,Namibe,AO,1563906528,2,82,-15.19,12.15,66.04,14.43,2019-07-23 18:28:48
179,Hualmay,PE,1563906542,100,87,-11.1,-77.61,61.36,19.93,2019-07-23 18:29:02
180,Uyemskiy,RU,1563906542,75,100,64.47,40.85,57.2,2.24,2019-07-23 18:29:02
181,Umm Lajj,SA,1563906542,0,78,25.02,37.27,85.3,2.24,2019-07-23 18:29:02
182,Coahuayana,MX,1563906543,75,75,18.62,-100.35,82.78,3.22,2019-07-23 18:29:03
183,Clarence Town,AU,1563906543,0,53,-32.59,151.78,57.0,1.12,2019-07-23 18:29:03
184,Gazojak,TM,1563906543,0,16,41.19,61.4,91.6,10.54,2019-07-23 18:29:03
185,Salalah,OM,1563906543,90,88,17.01,54.1,80.6,4.7,2019-07-23 18:29:03
186,Greytown,ZA,1563906543,0,19,-29.06,30.59,59.74,7.54,2019-07-23 18:29:03
187,Veraval,FR,1563906544,0,25,49.65,0.71,98.6,11.41,2019-07-23 18:29:04
188,Comodoro Rivadavia,AR,1563906544,20,46,-45.87,-67.48,53.6,9.17,2019-07-23 18:29:04
189,Vardo,US,1563906544,75,69,39.62,-77.74,78.01,9.17,2019-07-23 18:29:04
190,Kawardha,IN,1563906544,100,78,22.01,81.23,79.18,2.98,2019-07-23 18:29:04
191,Arlit,NE,1563906545,45,33,18.74,7.39,93.94,14.07,2019-07-23 18:29:05
192,Vaitape,PF,1563906545,97,85,-16.52,-151.75,79.18,14.67,2019-07-23 18:29:05
193,Mahebourg,MU,1563906545,75,88,-20.41,57.7,69.8,13.87,2019-07-23 18:29:05
194,Husavik,CA,1563906545,3,34,50.56,-96.99,82.99,7.0,2019-07-23 18:29:05
195,Pakxan,LA,1563906545,100,95,18.39,103.66,71.62,3.44,2019-07-23 18:29:05
196,Souillac,FR,1563906546,0,23,45.6,-0.6,104.0,10.29,2019-07-23 18:29:06
197,Airai,TL,1563906546,0,66,-8.93,125.41,64.96,4.85,2019-07-23 18:29:06
198,Castro,CL,1563906546,40,57,-42.48,-73.76,50.0,4.7,2019-07-23 18:29:06
199,Santa Isabel do Rio Negro,BR,1563906546,7,53,-0.41,-65.02,89.98,4.83,2019-07-23 18:29:06
200,Tilichiki,RU,1563906547,97,95,60.47,166.1,45.34,3.15,2019-07-23 18:29:07
201,Tasiilaq,GL,1563906547,40,65,65.61,-37.64,46.4,13.87,2019-07-23 18:29:07
202,Chokurdakh,RU,1563906547,99,53,70.62,147.9,51.28,13.42,2019-07-23 18:29:07
203,Xai-Xai,MZ,1563906547,0,39,-25.04,33.64,68.38,10.33,2019-07-23 18:29:07
204,Manaure,CO,1563906548,75,42,11.78,-72.45,98.6,13.87,2019-07-23 18:29:08
205,Chuy,UY,1563906548,100,81,-33.69,-53.46,56.5,14.63,2019-07-23 18:29:08
206,Avarua,CK,1563906548,4,64,-21.21,-159.78,73.4,16.11,2019-07-23 18:29:08
207,Mujiayingzi,CN,1563906548,0,75,42.12,118.78,67.48,5.84,2019-07-23 18:29:08
208,Rawson,AR,1563906549,0,44,-43.3,-65.11,48.94,14.09,2019-07-23 18:29:09
209,Gorontalo,ID,1563906549,100,82,0.54,123.06,75.58,9.44,2019-07-23 18:29:09
210,Caravelas,BR,1563906549,70,72,-17.73,-39.27,76.12,11.99,2019-07-23 18:29:09
211,Qaqortoq,GL,1563906461,40,58,60.72,-46.03,59.0,11.41,2019-07-23 18:27:41
212,Varberg,SE,1563906549,2,83,57.11,12.25,71.01,6.93,2019-07-23 18:29:09
213,Longyearbyen,NO,1563906549,75,70,78.22,15.63,48.2,3.36,2019-07-23 18:29:09
214,Baiyin,CN,1563906550,0,59,36.55,104.13,62.6,6.71,2019-07-23 18:29:10
215,Ukiah,US,1563906415,1,32,39.15,-123.21,89.01,3.36,2019-07-23 18:26:55
216,Mehamn,NO,1563906550,0,82,71.03,27.85,60.8,10.29,2019-07-23 18:29:10
217,Praia da Vitoria,PT,1563906550,20,65,38.73,-27.07,78.8,18.32,2019-07-23 18:29:10
218,Sieu-Magherus,RO,1563906551,75,68,47.08,24.38,68.0,6.93,2019-07-23 18:29:11
219,Kaeo,NZ,1563906551,30,100,-35.1,173.78,45.0,4.52,2019-07-23 18:29:11
220,Kuhdasht,IR,1563906551,40,17,33.53,47.61,93.2,8.19,2019-07-23 18:29:11
221,Urucui,BR,1563906551,1,30,-7.23,-44.56,91.78,9.22,2019-07-23 18:29:11
222,Kargasok,RU,1563906551,100,91,59.06,80.87,57.76,1.79,2019-07-23 18:29:11
223,Pevek,RU,1563906552,100,96,69.7,170.27,30.22,12.68,2019-07-23 18:29:12
224,Ibra,OM,1563906552,12,75,22.69,58.55,75.94,5.7,2019-07-23 18:29:12
225,Ahmadpur,IN,1563906552,41,65,18.7,76.94,82.06,16.02,2019-07-23 18:29:12
226,Kruisfontein,ZA,1563906552,58,70,-34.0,24.73,52.72,9.4,2019-07-23 18:29:12
227,Majene,ID,1563906553,29,73,-3.54,118.97,80.44,27.89,2019-07-23 18:29:13
228,Soller,DE,1563906553,0,29,50.73,6.56,93.99,5.82,2019-07-23 18:29:13
229,Varhaug,NO,1563906553,20,82,58.61,5.65,69.01,10.29,2019-07-23 18:29:13
230,Atikokan,CA,1563906553,27,50,48.76,-91.62,74.86,7.52,2019-07-23 18:29:13
231,Te Anau,NZ,1563906541,0,81,-45.41,167.72,40.66,0.31,2019-07-23 18:29:01
232,Sinnamary,GF,1563906554,0,77,5.38,-52.96,81.34,10.58,2019-07-23 18:29:14
233,Tacoronte,ES,1563906554,40,77,28.48,-16.41,77.0,20.8,2019-07-23 18:29:14
234,Tamandare,BR,1563906554,48,43,-8.28,-70.75,91.24,4.38,2019-07-23 18:29:14
235,Gerash,IR,1563906554,0,62,27.67,54.14,84.2,3.09,2019-07-23 18:29:14
236,Pitimbu,BR,1563906554,75,78,-7.47,-34.81,80.6,16.11,2019-07-23 18:29:14
237,Thunder Bay,CA,1563906507,75,47,48.41,-89.26,84.0,8.05,2019-07-23 18:28:27
238,Inhambane,MZ,1563906555,0,68,-23.87,35.38,68.0,16.11,2019-07-23 18:29:15
239,Grand-Santi,GF,1563906555,0,42,4.27,-54.38,90.88,3.96,2019-07-23 18:29:15
240,Tura,RU,1563906555,93,67,64.27,100.22,58.12,2.46,2019-07-23 18:29:15
241,Sechura,PE,1563906555,34,89,-5.56,-80.82,63.7,12.73,2019-07-23 18:29:15
242,Lithgow,AU,1563906556,0,53,-33.48,150.16,51.8,5.82,2019-07-23 18:29:16
243,Seoul,KR,1563906409,90,100,37.57,126.98,80.6,1.12,2019-07-23 18:26:49
244,Acoyapa,NI,1563906323,40,62,11.97,-85.17,86.0,4.7,2019-07-23 18:25:23
245,Larsnes,NO,1563906556,75,73,62.2,5.58,69.8,14.99,2019-07-23 18:29:16
246,Bachaquero,VE,1563906557,100,69,9.96,-71.12,84.58,4.0,2019-07-23 18:29:17
247,Waingapu,ID,1563906557,79,93,-9.65,120.26,66.04,6.98,2019-07-23 18:29:17
248,Flin Flon,CA,1563906557,40,37,54.77,-101.88,84.2,10.29,2019-07-23 18:29:17
249,Sandwick,GB,1563906546,16,65,54.57,-2.89,77.0,8.05,2019-07-23 18:29:06
250,Lamu,CN,1563906557,99,88,35.77,102.37,50.02,1.12,2019-07-23 18:29:17
251,Perevolotskiy,RU,1563906558,1,82,51.88,54.19,61.36,5.86,2019-07-23 18:29:18
252,Svetlaya,RU,1563906558,100,96,46.54,138.33,64.42,1.88,2019-07-23 18:29:18
253,Mackay,CA,1563906558,79,57,53.65,-115.58,75.2,5.82,2019-07-23 18:29:18
254,Temiscaming,CA,1563906558,75,46,46.72,-79.1,73.99,8.05,2019-07-23 18:29:18
255,Hami,CN,1563906559,91,31,42.84,93.51,77.02,3.53,2019-07-23 18:29:19
256,Batagay-Alyta,RU,1563906559,19,46,67.8,130.41,50.02,4.41,2019-07-23 18:29:19
257,Benguela,AO,1563906559,0,88,-12.58,13.4,69.8,9.46,2019-07-23 18:29:19
258,Tiznit,MA,1563906559,7,92,29.7,-9.73,69.1,11.77,2019-07-23 18:29:19
259,Ayorou,NE,1563906559,63,34,14.73,0.92,96.1,7.38,2019-07-23 18:29:19
260,Alyangula,AU,1563906560,18,87,-13.85,136.42,60.8,3.36,2019-07-23 18:29:20
261,Beringovskiy,RU,1563906560,76,58,63.05,179.32,49.66,2.04,2019-07-23 18:29:20
262,Qala,AZ,1563906560,0,61,40.44,50.16,78.8,16.11,2019-07-23 18:29:20
263,Surt,LY,1563906560,0,71,31.21,16.59,79.9,13.91,2019-07-23 18:29:20
264,Wahiawa,US,1563906561,90,73,21.5,-158.02,82.99,5.82,2019-07-23 18:29:21
265,Mananjary,MG,1563906561,0,66,-19.16,46.8,54.34,6.17,2019-07-23 18:29:21
266,Posse,BR,1563906561,83,32,-14.08,-46.36,85.3,8.95,2019-07-23 18:29:21
267,Pelotas,BR,1563906561,90,100,-31.77,-52.34,60.8,10.22,2019-07-23 18:29:21
268,Mao,DO,1563906562,20,49,19.55,-71.08,96.8,23.04,2019-07-23 18:29:22
269,Luang Prabang,LA,1563906562,100,99,19.89,102.14,69.46,1.81,2019-07-23 18:29:22
270,Pitea,SE,1563906562,0,72,65.32,21.48,72.0,6.93,2019-07-23 18:29:22
271,Morant Bay,JM,1563906562,20,55,17.88,-76.41,89.6,14.99,2019-07-23 18:29:22
272,Cairns,AU,1563906323,90,77,-16.92,145.77,70.0,9.17,2019-07-23 18:25:23
273,Baraboo,US,1563906562,1,41,43.47,-89.74,80.01,11.41,2019-07-23 18:29:22
274,Bud,NO,1563906563,75,88,62.91,6.91,66.99,4.7,2019-07-23 18:29:23
275,Baksheyevo,RU,1563906563,100,98,55.71,39.88,61.54,8.5,2019-07-23 18:29:23
276,Clyde River,CA,1563906563,40,81,70.47,-68.59,51.8,12.75,2019-07-23 18:29:23
